account:master
account:read:admin
account:write:admin
group:master,yes
group:read:admin,yes
group:write:admin,yes
phone_call_control:read:admin
phone_call_control:write:admin
phone_call_log:read:admin
phone_call_log:write:admin
phone_e911:read:admin
phone_recording:read:admin
phone_recording:write:admin
phone_sms:read:admin
phone_sms:write:admin
phone_voicemail:read:admin
phone_voicemail:write:admin
phone:master,yes
phone:read:admin,yes
phone:write:admin,yes
role:master
user:master,yes
user:read:admin,yes
user:write:admin,yes
